datasize,repetitions,total time,time/repetition,Mb/second,name of test,timestamp of testrun
0,1000,0.000000,0.000000,0.000000,test_Gather,2009-12-17 01-45-31
1,1000,64.699632,0.064700,0.000015,test_Gather,2009-12-17 01-45-31
2,1000,64.260704,0.064261,0.000030,test_Gather,2009-12-17 01-45-31
4,1000,63.646028,0.063646,0.000060,test_Gather,2009-12-17 01-45-31
8,1000,63.545981,0.063546,0.000120,test_Gather,2009-12-17 01-45-31

0,1000,0.000000,0.000000,0.000000,test_Scatter,2009-12-17 01-45-31
1,1000,51.881210,0.051881,0.000018,test_Scatter,2009-12-17 01-45-31
2,1000,53.867939,0.053868,0.000035,test_Scatter,2009-12-17 01-45-31
4,1000,53.427448,0.053427,0.000071,test_Scatter,2009-12-17 01-45-31
8,1000,53.291941,0.053292,0.000143,test_Scatter,2009-12-17 01-45-31

0,1000,0.000000,0.000000,0.000000,test_Alltoall,2009-12-17 01-45-31
1,1000,65.067671,0.065068,0.000015,test_Alltoall,2009-12-17 01-45-31
2,1000,62.045912,0.062046,0.000031,test_Alltoall,2009-12-17 01-45-31
4,1000,64.604989,0.064605,0.000059,test_Alltoall,2009-12-17 01-45-31
8,1000,62.670661,0.062671,0.000122,test_Alltoall,2009-12-17 01-45-31

0,1000,0.000000,0.000000,0.000000,test_Reduce,2009-12-17 01-45-31
1,1000,127.634841,0.127635,0.000007,test_Reduce,2009-12-17 01-45-31
2,1000,127.117238,0.127117,0.000015,test_Reduce,2009-12-17 01-45-31
4,1000,129.300861,0.129301,0.000030,test_Reduce,2009-12-17 01-45-31
8,1000,130.832963,0.130833,0.000058,test_Reduce,2009-12-17 01-45-31

0,1000,0.000000,0.000000,0.000000,test_Allgather,2009-12-17 01-45-31
1,1000,0.000000,0.000000,0.000000,test_Allgather,2009-12-17 01-45-31
2,1000,0.000000,0.000000,0.000000,test_Allgather,2009-12-17 01-45-31
4,1000,57.788664,0.057789,0.000066,test_Allgather,2009-12-17 01-45-31
8,1000,63.221849,0.063222,0.000121,test_Allgather,2009-12-17 01-45-31

0,1000,52.580735,0.052581,0.000000,test_Bcast,2009-12-17 01-45-31
1,1000,52.893936,0.052894,0.000018,test_Bcast,2009-12-17 01-45-31
2,1000,53.091166,0.053091,0.000036,test_Bcast,2009-12-17 01-45-31
4,1000,53.763602,0.053764,0.000071,test_Bcast,2009-12-17 01-45-31
8,1000,53.887568,0.053888,0.000142,test_Bcast,2009-12-17 01-45-31

0,1000,57.712058,0.057712,0.000000,test_Barrier,2009-12-17 01-45-31

0,1000,0.000000,0.000000,0.000000,test_Allreduce,2009-12-17 01-45-31
1,1000,61.368538,0.061369,0.000016,test_Allreduce,2009-12-17 01-45-31
2,1000,60.372964,0.060373,0.000032,test_Allreduce,2009-12-17 01-45-31
4,1000,61.979204,0.061979,0.000062,test_Allreduce,2009-12-17 01-45-31
8,1000,60.171648,0.060172,0.000127,test_Allreduce,2009-12-17 01-45-31

